Title,Date,URL,Content,Category,Sentiment
ExxonMobil Empowers Future Women Engineers,28/10/2025,https://tvwan.com.pg/news/6615,"In a bid to reshape futures and foster new possibilities for young women in Papua New Guinea, ExxonMobil PNG Limited (EMPNG) recently brought together 75 exceptional grade-nine girls from five Port Moresby schools for its second annual “Introduce a Girl to Engineering Day”.
Held at the LNG Plant in Caution Bay, the event ran under the guiding theme “Design Your Future”, inviting participants to engage in hands-on science experiments, collaborative problem-solving, and direct mentorship from Papua New Guinean engineers. The schools represented included Gordon Secondary School, Charles Lwanga Secondary School, Jubilee Catholic Secondary School, Bavaroko Junior High School, and Ororo Junior High School.
EMPNG Chairman and Managing Director Dinesh Sivasamboo visited the practical work stations and praised the girls enthusiasm, noting, “Even though you’ve come from different schools, you have quickly made new friends and learned to work together effectively as a team to solve real world problems. These are important skills that will help you excel in your lives and your careers.”
Speaking to the prospects ahead, Sivasamboo added, “Papua New Guinea’s energy future looks quite bright, so there will be opportunities for students like you throughout our industry. I hope you will continue to apply yourselves to your studies so that you might join us as engineers one day.”
Throughout the day, the 42 employee volunteers from EMPNG’s Women in Energy Network guided the students through key engineering concepts from circuit boards and electrical engineering to structural problem solving encouraging them to imagine and design their own futures in STEM.
For many of the young participants, the experience proved transformative. Zillar Naku Pa’aka from Gordon Secondary reflected, “I didn’t think much about taking on engineering, but after today, I might have a change of mind.”
And Sylvia Mero of Jubilee Catholic added, “I enjoyed the electrical engineering activity with the circuit boards. When the lights lit up, it felt like it lit something in me. I think after today, I’d like to become an engineer.”
The programme concluded with a lunch at the Plant’s site mess, and a gift pack for each girl, reinforcing the message that the journey into engineering can start today.
ExxonMobil PNG emphasises that this initiative is more than a one-day event—it is part of a broader commitment to STEM education and empowering girls to take bold steps into fields where they have been historically under-represented. Earlier versions of the parent programme show its roots in global efforts to close the gender gap in engineering.
As Papua New Guinea seeks to diversify its workforce and harness local talent in energy and infrastructure sectors, such outreach efforts carry not just educational but national significance. For these 75 girls, the spark lit at Caution Bay might well become the foundation of tomorrow’s PNG-based engineers.",Education,Joy
Rabaul boasts new infrastructure,26/10/2025,https://tvwan.com.pg/news/6588,"A series of infrastructure projects in Rabaul District, in East New Britain Province, have been completed recently.
Rabaul District Administrator, Freddy Lemeki, said these projects are the Watom sea wall upgrade and extension, Second 22nd Street road works and repair, Tunnel Hill road works and repair and Toleap Reinforced Concrete Box Culvert (RCBC).
The second phase of Blanche Street major rehabilitation is 60 percent completed.
He said these projects are funded through the District Services Improvement Program (DSIP) and Provincial Services Improvement Program (PSIP), and are expected to bring much-needed upgrades to roads in Rabaul town and the sea wall at Watom LLG.
Lemeki said the upgrade and extension on the 80-metre sea wall is built in front of the Vunakabai government station at Watom LLG.
This area had been badly affected by the rise in sea level, causing erosion on coastal areas. The government station was also affected.
The sea wall project is funded under DSIP and constructed by Senuak Contractors, taking four months to complete.
Lemeki said the major rehabilitation of Blanche Street (PSIP/DSIP counter fund), second 22nd Street (DSIP) and Tunnel Hill road (DSIP/PSIP counter fund) projects all undertaken by Nivani Ltd will improve the transportation network in Rabaul. These projects, valued at K4.9 million, K876,000 and K2.2 million respectively, will reduce travel times, improve road safety and boost economic activity.
The Toleap RCBC (DSIP) recently completed by Senuak Contractors and worth K373,862.50 now addresses past problems faced by commuters during heavy rains and erosion.
In September this year, Rabaul District witnessed the commissioning of the second phase Blanche Street Rehabilitation, second 22nd Street works and repair, Tunnel Hill road works and repair and Toleap RCBC.
Lemeki said the district will continue to prioritise infrastructure development both in the civil and building sectors.",Local,Trust
LDC Taps Local Expertise for Asset Valuation,25/10/2025,https://tvwan.com.pg/news/6583,"The Livestock Development Corporation (LDC) is charting a bold investment path for Papua New Guinea’s livestock industry through a nationwide asset valuation project that is set to redefine how its public assets are leveraged for economic growth.
This pathway falls in line with LDC’s efforts to provide sound feedback to the government after a directive that came from the Prime Minister dated 17th March 2020, for a campaign involving reclamation and refurbishment in taking stock of all government owned assets under LDC.
On Thursday 23rd of October 2025, during a signing ceremony, Chairman of LDC Board of Directors, Martin Ginyaru, said the Government has spent substantial amounts on the reclamation program, and the onus is on the valuers to provide a report back for the purpose of transparency and good governance.
LDC has engaged five reputable local asset valuation companies from a total of 11 applicants who responded to a public advertisement in the media.
The internal procurement committee chaired by LDC Finance Manager, Otto Wangillen selected
those companies based on merit, given their wide experiences and local knowledge of the real estate market across PNG.
The Valuers are tasked with conducting a comprehensive value assessment of LDC’s cattle ranches, abattoirs, and state – owned land under LDC across the country.
The decision to engage independent local valuers was made by the LDC Board of Directors to ensure this valuation process would not only restore operational clarity but also form the backbone of LDC’s investment forecast and development strategy.
“Valuation is not just a technical requirement, it is our launchpad for investment” said Ginyaru.
He further added that engaging local valuators ensures that the process is not only technically sound but also grounded in local knowledge and accountability. This is a critical step in transforming underutilized assets into viable investment platforms,” he further added.
The valuers, drawn from across PNG are tasked with conducting valuation on LDC’s extensive portfolio of properties and assets. Their work is central to the government’ asset valuation campaign, which aims to boost investor confidence, improve transparency, and lay the groundwork for public-private partnerships.
The asset valuation exercise will provide the transparency and credibility needed to structure investment-ready proposals. With clear asset records, LDC can now offer investors a portfolio of viable opportunities backed by verified data and government support.
Furthermore, the valuation initiative is part of PNG’s Medium-Term Development Plan IV 2023–2027, which targets self-sufficiency in meat production by 2030.
By quantifying the value and potential of its livestock infrastructure, LDC is positioning itself as a catalyst for agribusiness growth and rural development.
The valuation project is set to cost at least K500,000 in total and is expected to be concluded before the end of 2025.",Business,Anticipation
BSP Supports 44th PILON Meet,25/10/2025,https://tvwan.com.pg/news/6581,"In a strong display of corporate citizenship and regional solidarity, BSP Financial Group Limited (BSP) has announced its sponsorship of the closing dinner for the 44th Pacific Islands Law Officers’ Network (PILON) Annual Meeting, committing over K100,000 in partnership with the Department of Justice and Attorney General (DJAG).
The high-profile event will be held from October 27–31 at the APEC Haus in Port Moresby, marking the third time Papua New Guinea has hosted this prestigious gathering. This year’s meeting is expected to draw a record 90 delegates from 19 member countries and territories across the Pacific, including Attorney-Generals, Solicitors-General, and senior law officers.
The PILON Annual Meeting serves as a vital platform for regional collaboration, addressing shared priorities such as combating corruption, cybercrime, and sexual and gender-based violence while promoting good governance and legal reform.
BSP’s Head of Retail Branch Network, Peter Komon, said the bank’s contribution reflects its commitment to strengthening the rule of law as a foundation for development and social progress.
“At BSP, we understand that a strong legal framework is essential for sustainable development, economic growth, and social justice.
That’s why we are proud to support PILON’s mission and the dedicated professionals who work tirelessly to uphold the rule of law across our region,” Mr. Komon stated.
Secretary for the Department of Justice and Attorney General, Dr. Eric Kwa commended BSP for its ongoing partnership and generosity in supporting the event.
“This will be the third time Papua New Guinea hosts the PILON Annual Meeting. We are proud to bring PILON to PNG this year as we also celebrate our nation’s 50th Golden Jubilee,” Dr. Kwa said.
“Your support and partnership give us assurance that we are well prepared to host this significant regional event.”
The PILON network — comprising members from across the Pacific, including Australia, Fiji, Samoa, Solomon Islands, Vanuatu, and Papua New Guinea — provides opportunities for strategic planning, capacity building, and information sharing. Observers from international organizations such as the Commonwealth Secretariat and the South Pacific Police Commissioners’ Conference will also take part.
As the region prepares to gather under one roof for a week of dialogue and collaboration, BSP extends its best wishes for a successful and productive meeting, reaffirming its role as a partner in progress and a champion of good governance across the Pacific.",Business,Trust
Malahang Industrial Centre upgraded,24/10/2025,https://tvwan.com.pg/news/6572,"The Malahang Industrial Centre in Lae, Morobe Province, has celebrated the renovation of its main office and the installation of a new standby generator to power the entire zone.
Minister for Commerce and Industry, Win Bakri Daki, was in Lae yesterday morning (Thursday October 23rd) to officiate at the event.
Minister Daki outlined that K2 million was allocated to each of the commercial statutory authorities under the Commerce and Industry Department, such as the Investment Promotion Authority, the Industrial Centre Development Corporation, the National Institute of Standards and Industrial Technology and Small and Medium Enterprises Corporation.
The Malahang Industrial Centre, which comes under the Industrial Centre Development Corporation, used K1.5 million to purchase four new operational vehicles, bought and installed a 150 kilovolt-ampere (Kva) main administration genset and refurbished the main administration building.
“This four-door (Landcruiser) I’m giving to the manager of Malahang Industrial Centre, Catherine Wari, to take care of the tenants, help create job opportunities and instead of us importing goods from other countries, most of them are stored here at Malahang,” said Daki, who is the Tambul-Nebilyer MP.
“So, security manager and centre manager, it is a privilege that you have one vehicle each to look after this area and our customers.
“I’m also giving you one 15-seater for your staff to help with your movements. I live in Lae so I know where Malahang is. They need to freely move around in the afternoon and in the morning.
“You also have a good dump truck there. That’s for the rubbish left by any industry here. We need to pick them up and dump them. I think this is the first time in history for you to have your own dump truck.”
The manager of Malahang Industrial Centre, Catherine Wari, highlighted that they managed to fix the industrial centre within 16 months, when the K1.5 million was disbursed to MIC, while K500,000 remained with the Industrial Centre Development Corporation.
Aside from the assets that were launched, a 1.8km ring road is being constructed within the centre, with a completion rate at 75 percent.
Solar street lights will be installed in the Centre, along with 12 water tanks for tenants.
Furthermore, current title holders in MIC are being urged to develop their vacant land before their titles are revoked.",Business,Joy
Steamships appoints Allan Heyns as Property Division CEO,22/10/2025,https://tvwan.com.pg/news/6546,"Steamships is pleased to announce the appointment of Alan Heyns as Chief Executive Officer of its Property Division, Pacific Palms Property (PPP). He takes over from Russel Sy in a planned succession move.
Steamships Managing Director, Chris Daniells, said, “Alan takes on the role at an exciting time for the company as both Steamships and PPP prepare for a period of sustained growth over the next three years. Alan’s contributions to the development and execution of the vision for PPP’s Property Development and his strong understanding of the business and PNG position him well to lead the division forward.”
Most recently, Alan served as Property Development General Manager of PPP, where he led the property development lifecycle from concept development through to project delivery.
Key landmark projects delivered under his tenure include the Harbourside South addition to the Harbourside Precinct, home to Marriott Executive Apartments, and new developments in Portside Business Park and Dobel Central in Mt Hagen.
His leadership involved driving the design and feasibility of new projects, strategic project planning, construction management, and commercial contract negotiation, reinforcing PPP’s reputation as one of Papua New Guinea’s leading property developers and managers.
“I’m honored to step into this role and lead a company that has long been a driver of transformative property development in PNG. With our exceptional team, I’m committed to advancing sustainable growth, unlocking new opportunities, and delivering developments that uplift communities and create lasting value,” said Heyns.
Heyns brings more than 20 years of diverse experience across the property, construction, and oil & gas sectors with a strong record of successfully leading complex projects, enhancing operational performance, and advancing stakeholder engagement in different environments.
His earlier career spans senior roles across PNG, South Africa, and Angola, including Hornibrook NGI Ltd, SGB-Cape, and Southey Offshore, where he gained extensive expertise in quantity surveying, cost management, and large-scale project delivery.
His experience across industries, from marine and offshore services to construction and commercial real estate, equips him with a unique perspective to steer Steamships Property Division into its next chapter of growth.",Business,Anticipation
Digital Future Transforms Agriculture,22/10/2025,https://tvwan.com.pg/news/6539,"Papua New Guinea has entered a new era of digital transformation in agriculture with the launch of the Agriculture Management Information System (AMIS).
This is developed under the EU-STREIT PNG Programme through collaboration between the International Telecommunication Union (ITU) and the Food and Agriculture Organization (FAO).
The AMIS was handed over to Dr. Sergie Bang, Secretary of the National Department of Agriculture and Livestock (NDAL), in the presence of representatives from the European Union (EU), Department of National Planning and Monitoring (DNPM), and Department of Information and Communication Technology (DICT).
Hosted on the national G-Cloud by DICT, the system ensures long-term digital sustainability.
Dr. Bang said, “The AMIS is a pioneering tool designed to improve how we manage, monitor, and plan agricultural activities across the country.”
EU representative, Monica Vazquez-Pablo noted that while the EU-STREIT Programme targeted the Sepik provinces, AMIS “supports the national government’s Mid-Term Development Plan IV.”
Ali Said Yesuf from EU-STREIT PNG added that AMIS will strengthen data-driven policymaking, while Kanagat Alyshbaev from ITU said it marks “the beginning of a digital future for Papua New Guinea’s agriculture sector.”",Technology,Anticipation
Able Home and Office launches new products with ZKTeco,21/10/2025,https://tvwan.com.pg/news/6520,"Able Home and Office, in partnership with ZKTeco, recently launched a new line of products in the security and time management space during a networking event held at the Crown Hotel in Port Moresby.
The one-day event showcased a range of innovative technical and digital equipment designed to enhance security and operational efficiency with ease.
Able Computing has been operating in the PNG market since 1985 and was acquired by its current owners in 1996. Chief Executive Officer Andrew Locke, who has led the company for 28 years, said that since 2010, Able Computing has been working in the field of biometrics and maintaining a strong business relationship with ZKTeco.
Over the years, they have witnessed significant technological advancements. ZKTeco has now expanded into door access systems, car park boom gates, and electronic labeling systems — such as those used in supermarkets, where prices can be changed automatically at the press of a button.
“A lot more advanced biometrics like one of the big things we are doing with the Able this year is we have a by-pass programme when you could be anywhere in the country and using your mobile phone and using this particular location, a geo location or geological cash location like a geological place you can actually go there to clock in to start work, so if you are farmhand and it’s 10 kilometre walk from where you live to admin office, you cannot possibly make it because of the distance, the company can set up an area where you can walk in and using app you can log in,” Locke explained.
Able Home and Office was also joined by Lam Wen, the Australia-based Regional Manager of ZKTeco, who delivered a PowerPoint presentation highlighting the functions and benefits of their security technologies and applications.
Wen, accompanied by two colleagues, said the company has been supplying security and safety technology to Able Computing for some time, but this was his first visit to Papua New Guinea.
He said it was an exciting experience to see firsthand the environment where their products would be used and expressed his enthusiasm to return in the future.
The event saw a strong turnout from interested individuals and companies invited by Able Computing, eager to learn more about the innovative products on offer.",Technology,Anticipation
BSP goes rural – hundreds walk home with new accounts,18/10/2025,https://tvwan.com.pg/news/6489,"About 700 men, women and school children in the Ponowi area of Kewabi LLG in Ialibu Pangia District opened new bank accounts with Bank South Pacific today, happily walking away with their new bank cards.
A team from the BSP Dobel Branch in Mt Hagen visited Ponowi Primary School at the invite of the school head teacher, Siro Yoko.
Mr Yoko came up with this initiative to help students develop a saving culture while still small and assist them to nurture this mindset as they progress in life.
BSP Dobel Branch Manager, Imson Kasu was impressed with the turnout. What he expected to be an account opening exercise for school children turned into account opening for a whole community.
He said this is part of BSP’s “go rural” campaign, bringing services to where it matters.
“This is part of BSP’s strategy, targeting customers while also carrying out awareness about services we provide, all for the convenience of customers.
“The bank encourages us to carry out activities like this as it helps to address issues faced by customers in opening bank accounts, card replacement, and other services by bringing these services to their door steps.”
He stressed the importance of involving school children in this exercise as it’ll go a long way.
School children’s accounts were created under the “Sumatin Account” category which is fee-free while the rest of the community also had the chance to have new accounts opened while those with existing accounts but had issues with their cards had them replaced.
This 700 are those who were registered last week during an initial visit by BSP.
Today’s visit also saw new customers registered and will have their accounts opened next week",Finance,Joy
Pacific Nations Called to Own Tuna Value Chain,18/10/2025,https://tvwan.com.pg/news/6488,"Pacific Island countries are being urged to take greater control of their fisheries value chain, particularly in tuna, as part of new initiatives led by Papua New Guinea’s Special Economic Zone (SEZ) Authority.
Speaking at Day 2 of the Pacific Tuna Forum 2025, Dr Lawrence Sause, SEZ Chairperson and Executive Dean of the UPNG School of Business & Public Policy, highlighted the opportunities and challenges facing Pacific fisheries.
“Some of the facts are so startling to me, and the challenge of course is what do we do with them. But I think the two most important facts that we should be comforted with is that in the Pacific we are the owners of some of the largest fisheries stocks in the world including tuna,” Dr Sause said.
He emphasised the problem of limited local control over the value chain, noting that much of the downstream processing is done outside the Pacific. “We are not in control of the value chain of the fisheries and the value chain for the processing of tuna and the end product of it in the Pacific. Others are in control of it and those in control of it get the most out of it,” he explained.
Dr Sause also presented the East New Britain Initiative (ENBi), a concept encouraging joint investment among Pacific Island countries to expand processing and finished product development in PNG. The SEZ framework provides financial and non-financial incentives to attract investors and fast-track development.
“In the Pacific, nobody will come and build the Pacific for us in our countries we ourselves must build it… If we wait on others we will wait for another fifty years and we will just be onlookers of the world,” he said.
The ENBi is part of what Dr Sause calls the “Broom strategy,” highlighting the strength of collaboration across nations: “A broom by itself as a broomstick is not strong… but collectively if you put all the broomsticks together it becomes a solid piece of tool that you can use.”
PNG has already issued licenses to four SEZs, attracting investments totaling K2.7 billion, with opportunities in fisheries, tourism, steel, cement, and other sectors. Dr Sause urged regional cooperation and cross-border SEZ development to ensure Pacific nations fully benefit from their tuna resources.",Business,Anticipation
