Title,Date,URL,Source,Category,Sentiment,People,Content
Jiwaka Leaders Call For Action As Writs Return Date Looms,15/11/2025,https://tvwan.com.pg/news/6868,TVWAN,Politics,Anticipation,Soroi Eoe,"Community leaders from wards within the Anglimp and Kuna Komun Local Level Governments (LLGs) of Jiwaka province are calling on the PNG Electoral Commission (PNGEC) to conduct their delayed elections before the deadline of November 21st.
Their appeal follows a recent letter from the Minister for Provincial and Local Level Government Affairs, Soroi Eoe, addressed to the PNG Electoral Commissioner. In the letter, Minister Eoe concurred with the Electoral Commissioner’s request for an extension of the deadline for the return of writs for some LLGs due to special circumstances, citing Sections 277(2)(b) and 288(2) of the Organic Law on Provincial and Local-level Governments.
The Minister explained that while many LLGs across the country have progressed well, some experienced delays due to various issues and require additional time to complete their elections. He however, advised the Electoral Commissioner to return the writs for the completed LLGs to his office on November 21, 2025.
Councilors Peter Saina, Joe Win an Kerewa Mekenti of Anglimp and Kuna Komun are now urging the PNGEC and Jiwaka’s Election Manager to proceed with the elections without further delay. They are also calling for the return of the official writs by the end of next week to ensure timely completion.
The delays for these LLGs were initially caused by confusion surrounding the creation of new wards. However, leaders have confirmed that the new wards for Anglimp and Kuna Komun are legal and have followed all required procedures. They also emphasized that no court orders prevent them from voting.
The creation of the new LLGs—Anglimp, Kuna Komun, and Kambia—was approved by the Provincial and Local Government Affairs Office to support the upcoming split of Anglim South Waghi into two separate electorates in 2027. While the Kambia LLG elections have already progressed and declarations have been made, only Anglimp and Kuna Komun remain delayed.
The community leaders are firm in their stance that these the election for these two LLGs should proceed to ensure they exercise their democratic rights to choose their leaders."
SHMS Multipurpose Hall Unveiled,15/11/2025,https://tvwan.com.pg/news/6862,TVWAN,Education,Joy,James Marape,"The School of Medicine and Health Sciences at the University of Papua New Guinea opened its new multi-purpose school hall yesterday.
The school is on its way to becoming the new University of Medicine and Health Sciences after Parliament passed the legislation last month, enabling its inception. The multipurpose hall is the first of several buildings in the project’s phase 1 plan.
Prime Minister James Marape when officiating at the event thanked those who have worked hard to bring about this infrastructure development.
“I want to thank the University of PNG and Chancellor, Sir Robert Igara, and the Executive Dean of the Medical Faculty, Prof. Nakapi Tefuarani, for working very hard to make this small but important milestone and a pointer, a moment in our nation’s history to remind us of what can be done if we work together in the direction we must take travelling forward,” said Prime Minister Marape.
Highlighting the need for SMHS to be granted a stand-alone university of its own, the Prime Minister set a timeline on when he wants the institution to be fully functional.
“UPNG, let this campus go. This country needs its own medical university. The statistics is compelling – the doctor-to-patient ratio in Papua New Guinea is among the lowest in the world. For 10 million people, we now need up to 10,000 doctors to be on par with world levels.
“This is why it is of the utmost importance to get this university up at the earliest, and I give to you our government’s fullest commitment to getting this university up as soon as possible.
Before we step out into the 2030’s, this campus must be fully functional to meet the needs of our country going forward.
“We hope as we set up the new university, enrolment increases, vacancies are filled, and we get to employ enough doctors in the country and send doctors and medical practitioners out to our region.”
The Prime Minister said he sees the strong value of having the medical university independent of the University of PNG and functioning symbiotically with the Port Moresby General Hospital – both because of their physical location next to each other and professionally because of the relationship of the work they do.
He said his government is determined to upgrade PMGH to a Level 7 status hospital as it develops the new university to its highest potential.
“Port Moresby General Hospital is in a symbiosis with this university. Our government will invest heavily in the cancer facility and soon we will open this facility which will be the best cancer treatment facility in the Pacific, comparable to Australian standards.
We have stepped up on the heart facility. We witnessed the first heart bypass in 50 years. And I witnessed the first two successful kidney transplant, another first for our country.
“Our government will keep investing in PMGH to take it to a Level 7, fully-run specialist hospital as well as embracing general duties for the rest of the country.
“Utilising latest technology, this university will train highly qualified Papua New Guineans to serve all the needs in our country,” said PM Marape.
The University of Medicine and Health Sciences project is a national project. It began after an NEC decision was taken in 2017 but delayed when the former UPNG council went to court challenging the decision to stop the splitting of UPNG.
Project restarted after Sir Robert took chancellorship of UPNG and Prime Minister Marape resumed the momentum to install a separate university that would concentrate on producing doctors and medical practitioners to fill the wide gap in the health sector in the country.
It is estimated it will take up to three years to get the new university functioning from completion of all building infrastructure to transferring the administrative functions from UPNG, and taking enrolments."
"‘You can be billionaires’, small-scale miners told",15/11/2025,https://tvwan.com.pg/news/6861,TVWAN,Business,Anticipation,Nill,"Small-scale miners in Papua New Guinea have the potential to become billionaires if they make sound investment decisions, diversify into other businesses, and manage their earnings responsibly.
Managing Director of Mineral Resources Authority (MRA) Jerry Garry. made these remarks in Wau on Thursday, November 13, during celebrations marking the 15th anniversary of MRA’s Small-Scale Mining Training Center (SSMTC).
About 3,000 people including miners, Wau locals, and stakeholders gathered to commemorate the milestone.
In his address, Mr Garry shared a motivational story about Placer Dome, one of the world’s largest gold mining companies, which began its journey, mining alluvial gold in Wau.
Historical records show that in 1926, two expatriates—an Australian and a New Zealander—discovered abundant gold resources in Wau-Bulolo. They established Placer Development Proprietary Limited, raised funds, and purchased eight dredging machines to mine the Wau-Bulolo goldfields. Importantly, they did not limit themselves to gold mining, they diversified into cattle farming, fishing, and forestry. The pine trees harvested today by PNG Forest Products in the Wau-Bulolo area were first introduced by these men as part of their diversification strategy.
After more than five decades, Placer Development Proprietary Limited acquired a mining license to operate the Porgera mine. The company later merged with Dome to form Placer Dome. By 2005, Placer Dome operated 16 gold mines across seven countries and had a market capitalization of USD 6.7 billion.
The MD encouraged miners to follow this example, stressing that with wise investments and careful management of profits, they too could become billionaires."
Nipa Kutubu DDA Upholds Tax Compliance,15/11/2025,https://tvwan.com.pg/news/6867,TVWAN,Business,Trust,Billy Joseph,"With the Internal Revenue Commission’s presence now visible in Southern Highlands, tax collection efforts have been made easier.
IRC received a GST Withholding Section 65A payment of K3,330,011.57 from the Nipa-Kutubu District Development Authority (NK DDA) on Friday, 14 November.
Provincial IRC Manager of Southern Highlands, George Nathan acknowledged the payment as a strong demonstration of leadership, accountability, and commitment to tax compliance.
“This timely payment reflects the district’s responsible financial management and its dedication to supporting national revenue mobilization,” said Mr. Nathan.
Mr. Nathan emphasized the importance of GST Withholding (Section 65A), reminding all Withholders to deduct the mandatory 10% GST and lodge and remit payments by the 21st of every month.
He further commended the NK DDA for their transparency and swift response to IRC’s reminders, noting that such actions contribute meaningfully to rebuilding and restoring the Southern Highlands Province.
Special appreciation was also extended to Defense Minister and Member for Nipa-Kutubu Electorate, Dr. Billy Joseph, for his continued stewardship and support."
Kwikila Secondary graduates told to be contributors to development,15/11/2025,https://tvwan.com.pg/news/6863,TVWAN,Education,Joy,Ano Pala,"Kwikila Secondary School in Rigo District of Central Province marked its 23rd Grade 12 Graduation Ceremony on Thursday, 13 November 2025, celebrating the milestone of the graduating class while reflecting on the growth and success of the school since its establishment as a high school in the 60s.
The invited keynote speaker, Member for Rigo and Minister for National Planning, Sir Ano Pala, was unable to attend due to ministerial commitments but was represented by his second secretary, Charles Amini, who extended Sir Ano’s heartfelt congratulations to all graduands on behalf of the Member.
In his prepared remarks, Sir Ano reflected on his own journey as a former student of Kwikila High School, recalling his graduation in 1969, and how his experiences there shaped the path he later pursued in public service.
He emphasized the importance of responsibility and contribution.
“You all have a role to play in our society depending on how serious you take your role as a contributor. Not only to Rigo but to Central Province, to Papua New Guinea and even to the rest of the world.”
He further reminded the graduates of Rigo’s legacy of producing exceptional leaders.
“Rigo has produced Chief Justices, Judges, State Ministers, Police Commissioners, Defence Brigadier Generals, Departmental Heads, Clerks of Parliament, Heads of Missions, Sporting icons, to name a few. One of you can aspire to hold one of these positions and carry on this fine tradition. Congratulations to the class of 2025.”
As part of his support for education, Sir Ano awarded laptops and WiFi devices to the dux of the three streams—Science, Social Science, and Business Studies.
The runner-up dux recipients were each presented with a tablet device, a gesture underscoring his commitment to empowering young leaders with tools for success in the digital age."
Nangu Chef wins “Yumi Stap Wanatim” SME Award,15/11/2025,https://tvwan.com.pg/news/6864,TVWAN,Business,Joy,Nill,"The Australian Government has recognised the ingenuity, resilience and contribution of Papua New Guinea’s micro, small and medium enterprises (MSMEs) at the annual PNG SME Awards.
This year, the PNG SME Awards marked the introduction of the inaugural Yumi Stap Wantaim Award, sponsored by the Australian Government through the PNG–Australia Partnership. The award is designed to celebrate SMEs in Papua New Guinea that demonstrate strong business growth and resilience – in terms of turnover, market share, and profitability – and also exemplify the values of partnership, community engagement, and service. This award comprises a value of PGK15,000: a cash prize of PGK5,000 and PGK10,000 in tailored business development support.
Australian High Commission representative, Acting Minister Counsellor Richelle Turner, presented the award to Chef Nicky Pohonhelan.
Mr Pohonhelan is the owner of Nangu Chef Catering and was recognised for his achievement of successfully expanding from a solo operator to a team of five, including three dedicated kitchen hands. Nangu Chef Catering celebrates Papua New Guinean cuisine’s diverse flavours.
In her remarks, Acting Minister Counsellor Richelle Turner spoke to the important role SMEs play and the contribution they make to Papua New Guinea’s economy.
“Papua New Guinea’s small and medium enterprises contribute to a dynamic and inclusive economy by driving innovation and excellence every day. The annual SME Awards night places a spotlight on the contribution businesses of all sizes make,” she said.
In accepting the Yumi Stap Wantaim Award, Mr Pohonhelan, thanked the Australian Government.
“As an SME out there, right now I’m thinking of what kind of stove am I going to get, what kind of oven am I going to get. I appreciate the Australian Government for giving me this opportunity to basically wonder how else I can grow my business, because there has been plans, but the issue was finance,” he said.
Australia continues to supports Papua New Guinea’s MSME sector through initiatives that provide business training, access to finance, and practical support including:
•	the largest-ever survey of PNG’s MSME sector, with over 2,600 businesses across 21 provinces sharing insights to inform responsive programs;
•	the EmployAbility initiative that places jobseekers with disabilities in roles across Information and Communications Technology (ICT), Human Resource (HR), administration and sign language training; and
•	providing support to the Lily Magazine Homemade Business Competition to showcase innovative micro and small businesses.
These efforts align with Papua New Guinea’s Medium Term Development Plan IV, which recognises the importance of SMEs in building a strong and diversified economy.
The Australian Government remains committed to supporting Papua New Guinea’s entrepreneurs and strengthening the SME sector as a cornerstone of inclusive and sustainable economic growth."
PNG Chief Censor Raises Alarm Over AI 'Theft' of Local Music,14/11/2025,https://tvwan.com.pg/news/6857,TVWAN,Technology,Fear,Nill,"Chief Censor of the Office of Censorship of Papua New Guinea, Jim Abani, has raised an alarming issue: the unauthorized transformation of PNG's local, authentic music into Artificial Intelligence (AI) versions. Mr. Abani warns that this practice constitutes a significant copyright breach and is ""draining the future"" of the country’s music industry.
The alleged copyright breaches emerged this year, with familiar songs from veteran artists being remixed and distributed as AI-generated tracks. It has come to the attention of Mr. Abani’s office that original music created and sung by Papua New Guinea's local artists has been transformed by unknown creators into AI versions.
According to Mr. Abani, this practice is a breach of copyright laws because the AI output is ""substantially similar"" to the original works. He stated that local artists face a genuine threat to their artistic products going forward.
Mr. Abani emphasized the importance of preserving the country's artistic integrity, adding that all original content including videos, music, and other creative products must remain authentic to promote PNG's genuine artistic identity.
Familiar local songs already being transformed into AI versions include ""Madang"" by Demas Saul and ""Asua"" by Edwin Baffe.
To combat this growing threat of copyright infringement, Mr. Abani strongly advocates for an ""all-of-government approach"" as the only viable way to assist local artists.
“I strongly believe that an all-of-government approach is the only way that we can assist our local artists. Regulating AI music in Papua New Guinea requires a phased approach,” he stated.
He identified key strategies to help local artists and called on relevant agencies to act:
•	Copyright Law Review: ""If it is outdated, we need to review that.""
•	Licensing and Royalties: ""We have to establish this licensing so that they can benefit those music artists."
Forest body urged to implement ban of round logs,14/11/2025,https://tvwan.com.pg/news/6852,TVWAN,Environment,Disgust,Nill,"Environment NGO, ACT NOW PNG doubts the National Forest Authority’s ability to implement the Prime Minister’s commitment to end the export of round logs by 2025.
ACT NOW Campaign Manager Eddie Tanago while congratulating the PM for his declaration, outlined instances in the past where NFA has not implemented decisions made by previous governments.
“The PNG Forest Authority has an appalling record when it comes to following the law and implementing government policy” says Eddie Tanago.
“The Prime Minister’s reputation and the reputation of our nation is now on the line, as the whole world will be watching to see if the promise is upheld.”
In 1991, the new Forestry Act which created the PNGFA, replaced the concept of the Timber Rights Purchase and Local Forest Area with a new type of logging licence, the Forest Management Agreement. Yet over thirty years later, less than 15% of log exports come from FMA areas and the TRP and LFA still dominate the sector.
The government’s Vision 2050 banned log exports from 2010, a ban that was endorsed by the then Prime Minster, Peter O’Neill in 2008. Yet in 2010 log export volumes reached record highs and in 2015 PNG became the world’s largest exporter of tropical logs.
In 2018, the O’Neill government promised log exports would end by 2020; a pledge that was repeated by the new Marape government in in 2020, Prime Minister Marape made a new pledge that there would be no new export licences issued but within two years, twenty new export logging projects had started up.
Then, in Nov 2022, the National Forest Board imposed a moratorium on the issuing of new Forest Clearing Authorities.
Yet in 2023 and 2024 there were five new FCA projects that started log exports.
Eddie Tanago says he hope his pessimism is proved wrong and that the PNG Forest Authority can step up and break the cycle of history by ensuring there are no exports of round logs from January 2026.
“Hopefully now is the time the Forest Authority can show a different face and ensure the Prime Minister’s promise to the world is fulfilled”, says Tanago."
Police presence continues in LLG elections,14/11/2025,https://tvwan.com.pg/news/6850,TVWAN,Politics,Trust,Nill,"Police will continue their support towards the Local Level Government Elections, ensuring that the polling and counting are completed successfully, says the Police Commissioner David Manning.
Manning stated that, despite isolated challenges, particularly in the Highlands region, police will maintain their presence and support the Electoral Commission in conducting the election.
“There have been isolated incidents in the upper highlands, and there have been ongoing tribal fights that have impacted the smooth running of LLG elections in certain districts and electorates.
We will continue to support the electoral commission, ensuring that the democratic process is completed, which does present its challenges as well.
“Mainly, Southern Highlands and Enga have continued to pose significant challenges for us and the electoral commission, but this is electoral commission business; we are just supporting with security. We will advise the electoral commission on whether or not the environment is conducive to safely running the election and make the call to discontinue polling in any part of the country if the environment is not conducive,” he said.
The commissioner further urged everyone to follow the democratic process of voting and refrain from conflicts."
PNG Develops Inclusive Agriculture Policy,14/11/2025,https://tvwan.com.pg/news/6849,TVWAN,Development,Anticipation,Nill,"Papua New Guinea is developing its first-ever National Women and Youth in Agriculture Policy (2025–2035), with support from the Food and Agriculture Organization (FAO) through the EU-STREIT PNG Programme. The policy aims to place women and youth at the centre of agriculture and agribusiness, ensuring equal access to land, finance, markets and services.
The first regional consultation held in Wewak brought together farmers, cooperatives, NGOs, church groups and private sector representatives from East Sepik, West Sepik and Madang provinces to validate findings and include voices from women, youths and persons with disabilities.
Deputy Secretary for DAL’s Policy Division, Francis Daink, said stakeholder ownership is vital, adding that DAL will coordinate and provide secretarial support to a high-level advisory body led by women and youth.
FAO’s Patu Shang said the consultation unites voices to address key challenges: “Without this policy, we risk losing more years of opportunities to strengthen our economy and empower our people.”
Ali Said Yesuf, EU-STREIT PNG Coordinator, emphasized that implementation must tackle real barriers and include a strong monitoring framework. The policy supports PNG Vision 2050 and aims to unlock the full potential of women and youth in agriculture."
