Title,Date,URL
Polling Commences: Over 5400 polling teams dispatched,28/10/2025,https://tvwan.com.pg/news/6619
PM Marape set to sign PNG-Australia Security Treaty today,06/10/2025,https://tvwan.com.pg/news/6324
Global support boosts PNG’s climate advocacy,28/09/2025,https://tvwan.com.pg/news/6207
PM Marape attends UN General Assembly Week,21/09/2025,https://tvwan.com.pg/news/6128
Australia supports new ministerial wing,18/09/2025,https://tvwan.com.pg/news/6092
UN Secretary-General concludes visit to PNG,05/09/2025,https://tvwan.com.pg/news/5943
European Commissioner to visit PNG,03/09/2025,https://tvwan.com.pg/news/5908
Historic Visit of the UN Secretary-General to PNG Date,03/09/2025,https://tvwan.com.pg/news/5900
2025 LLG elections on schedule,02/09/2025,https://tvwan.com.pg/news/5892
Porgera MP asks for CDA update,02/09/2025,https://tvwan.com.pg/news/5891
Bird is People’s Reform Party Leader,31/08/2025,https://tvwan.com.pg/news/5861
NZ Prime Minister addresses Parliament,05/08/2025,https://tvwan.com.pg/news/5524
Speaker welcomes NZ PM to Parliament,05/08/2025,https://tvwan.com.pg/news/5523
Tomuriesa remains Leader of the Opposition,30/07/2025,https://tvwan.com.pg/news/5453
Miringtoro sworn-in to Parliament,29/07/2025,https://tvwan.com.pg/news/5434
"Parliament resumes Tuesday, July 29",28/07/2025,https://tvwan.com.pg/news/5409
GG Visits German Institutions,20/07/2025,https://tvwan.com.pg/news/5313
Voters welcome MKA election,17/07/2025,https://tvwan.com.pg/news/5273
Voters welcome MKA election,17/07/2025,https://tvwan.com.pg/news/5266
Tatana turn up for polling,17/07/2025,https://tvwan.com.pg/news/5263
LLG polling deferred,10/07/2025,https://tvwan.com.pg/news/5174
PM to meet King Charles III today,07/07/2025,https://tvwan.com.pg/news/5116
Lae candidates urged to use clean tactics,28/06/2025,https://tvwan.com.pg/news/5020
PM Marape in Fiji for MSG leaders' summit,22/06/2025,https://tvwan.com.pg/news/4951
Miringtoro joins OUR Pati,21/06/2025,https://tvwan.com.pg/news/4940
Parliament resumes May 27,26/05/2025,https://tvwan.com.pg/news/4603
Kandep presents an acquittal,19/05/2025,https://tvwan.com.pg/news/4499
WNB LLG Election Nominations Continue,27/04/2025,https://tvwan.com.pg/news/4166
LLG election writs issued,24/04/2025,https://tvwan.com.pg/news/4131
Akem calls for alcohol ban in Enga,23/04/2025,https://tvwan.com.pg/news/4114
Marape assures stability in the country,15/04/2025,https://tvwan.com.pg/news/3984
Prime Minister James Marape retains seat,15/04/2025,https://tvwan.com.pg/news/3982
Sir Puka Temu call on PM to resign,15/04/2025,https://tvwan.com.pg/news/3981
Parliament resumes to deliberate and vote on VoNC,15/04/2025,https://tvwan.com.pg/news/3980
Marape calls for calm and respect ahead of VoNC,14/04/2025,https://tvwan.com.pg/news/3971
Parliament resumes April 8,07/04/2025,https://tvwan.com.pg/news/3895
Sir Puka Calls For Speaker To Resign,01/04/2025,https://tvwan.com.pg/news/3828
Court orders Speaker to recall Parliament,31/03/2025,https://tvwan.com.pg/news/3810
Deputy opposition leader’s application rejected,05/03/2025,https://tvwan.com.pg/news/3458
Maladina meets with Indonesian leaders,27/02/2025,https://tvwan.com.pg/news/3347
PNG-Australia relationship strengthened,24/02/2025,https://tvwan.com.pg/news/3312
Julius Chan’s uniquely long political career,06/02/2025,https://tvwan.com.pg/news/3075
PNG soon to be ASEAN member,18/12/2024,https://tvwan.com.pg/news/2601
Marape hails 2025 Budget,01/12/2024,https://tvwan.com.pg/news/2431
2025 Budget focuses on security,01/12/2024,https://tvwan.com.pg/news/2430
