Title,Date,URL,Content,Category,Sentiment,full_text,model_output,tag,sentiment
National Population at over 10.2million,01/11/2025,https://tvwan.com.pg/news/6669,"Prime Minister James Marape has confirmed the national population according to the national census results of June 16, 2024 to be 10,185,363.
Mr Marape said in parliament yesterday that for the first time in the history of Papua New Guinea, the results of a national population census has been unveiled exactly a year after the population count was completed.
He said the last census was conducted in 2011 but the results were received in 2015.
The prime minister said the Minister for National Census will distribute the census results to all the members of parliament with the exact population numbers of their electorates, LLGs and wards’ in preparation for the 2027 National General Elections.
“Last night for the first time, we unveiled to our country, our population as at 16th June 2024. As of last night’s (Thursday) unveiling, our population stands at 10,185,363 as of 16th June, 2024,” Marape declared.
He added, “The counting of population must be an every day task supervised by the provincial administration, there must be a section in the provincial government administration structure in the provinces linking to the districts and also linking to the health centres that we must be counting all the time.”
Marape said they will now make this the ward councilors core business, now that they are being paid full time.",Politics,Trust,,,,
PM calls for understanding,31/10/2025,https://tvwan.com.pg/news/6656,"Prime Minister James Marape has urged the public to remain calm and seek understanding regarding a recent incident involving Minister for Commerce and Industry Win Daki and Chimbu Governor Noah Kool.
His call comes following a private exchange that took place after Wednesday's parliament session, which has since sparked controversy.
In addressing the situation, the prime minister clarified that his discussion with Minister Daki revealed that the comments made were part of a private conversation and were not representative of an official government policy or the stance of the PANGU Pati.
“I have asked Minister Daki to release a statement clarifying the level of conversation he had with the Chimbu Governor,” Marape said. “He has indicated that the statement was taken out of context.”
“The discussion was about how questions relating to Chimbu Provincial Government should be raised directly by the governor himself, rather than other members of parliament,” said the prime minister.
Mr Marape emphasized that Minister Daki does not speak for the government or the PANGU Pati in such private discussions.",Politics,Trust,,,,
Electoral system queried,31/10/2025,https://tvwan.com.pg/news/6652,"Leader of the Opposition, Douglas Tomuriesa, raised questions in Parliament today on the biometric voting system and a fallback strategy should the system fail during the 2027 General Elections.
He raised concerns about the Biometric voting system being pushed forward by the Minister for Administrative Services, Richard Masere.
Tomuriesa directed this specific question to Prime Minister James Marape. The Leader of the Opposition said the government must ensure that voters can still participate effectively, regardless of potential technical issues.
Tomuriesa queried the government on what their contingency plans are should the Biometric voting system face challenges in the next elections.
He called for a reliable electoral process. Tomuriesa emphasized that any failure of the biometric system could undermine the integrity and smooth functioning of the elections.
Prime Minister James Marape, in response, said the Government committed in the 2022 elections that it would make it a priority to provide transparent and fair electoral roll platforms to allow people to vote fairly and freely.
Tomuriesa raised critical questions about the preparedness and resilience of the electoral framework, particularly the implementation of new technologies like the biometric voting, which aims to enhance transparency and security.
As the conversation on this issue develops, it is likely to prompt further discussions on electoral processes, voter confidence, and the measures necessary to uphold democratic standards in Papua New Guinea's upcoming 2027 election.
The Prime Minister acknowledged that there is a need for a better voting system. So the government is making sure to tidy the election, including the common roll.",Politics,Anticipation,,,,
Marape survives another VoNC attempt,30/10/2025,https://tvwan.com.pg/news/6645,"The Private Business Committee has met and deliberated on the Notice of Motion of No Confidence against Prime Minister James Marape, filed by the Opposition on Wednesday, October 29, 2025.
The Committee determined that the Notice of Motion cannot be placed on the Notice Paper because Constitutional Amendment No. 48 (Motions of No Confidence) Law 2025 is in operation.
Section 145(5) of the Constitution states: “Where a motion of no confidence in the Prime Minister is unsuccessful, a subsequent motion of no confidence in the Prime Minister or the Ministry after the unsuccessful motion of no confidence shall not be moved for another period of 18 months commencing on the date that the motion of no confidence is unsuccessful.
On March 17, 2025, Constitutional Amendment No. 48 came into operation upon certification.
On April 15, 2025, a motion of no confidence was moved, voted and defeated in Parliament.
Based on the above, the Constitution prohibits another no confidence motion against the Prime Minister at this point in time.
The Notice of Motion of No Confidence was filed by the Opposition Members and moved by MP for Abau, Sir Puka Temu, seconded by Member for Chuave, James Nomane, then nominating Member for Ialibu-Pangia, Peter O’Neill as the alternate Prime Minister dated October 29, 2025.",Politics,Trust,,,,
Marape welcomes fresh VoNC,30/10/2025,https://tvwan.com.pg/news/6640,"Prime Minister James Marape has welcomed yet another Motion of Vote of No Confidence filed by the Opposition in Parliament today, Wednesday, October 29, 2025.
He said it is part of the democratic process and reflects the Constitutional rights of Members of Parliament to choose their leaders freely and without pressure.
Speaking after Parliament was informed of the new Motion’s admission by the Private Business Committee, Prime Minister Marape said he holds no fear or resentment towards the process. He said he will not resort to Political Camps or “behind-the-scenes lobbying” as often seen in past political struggles.
Prime Minister Marape has welcomed any challenge. He stated it is not the first and may not be the last. But remains focused on governing and serving the country.
The Prime Minister emphasized that he has faced multiple Political and Legal challenges since assuming Office on 30 May 2019, including the 2020 Political Impasse, numerous court cases, and repeated attempts to destabilise his government.
“We faced Politics in 2020, 2021, 2023, 2024, and now again in 2025. But through it all, our Government has stood firm. We delivered the highest number of MPs returned for any Party in a National General Election since the Somare Government in 1982 National General Election. We have grown our country's economy by over K50 billion since 2019. The records speak for themselves — in economic management, infrastructure delivery, and service expansion,” he said.
The Prime Minister reaffirmed his commitment to democratic principles and political maturity, saying that Papua New Guinea must move away from the destructive culture of political camps and secret deals.
“Under my watch, there will never be a Political Camp. We have just celebrated 50 years of Independence. It is time we mature as leaders. Members of Parliament have the full freedom to make their choice without coercion, without fear, and without inducement. Exercise your God-given Freedom of Choice,” he declared.
PM Marape said that history has shown that frequent changes in Government between 1975 and 2002 contributed to the country’s slow growth and instability. He urged all Leaders to rise above narrow politics and place national interest first.
He also made it clear that he will not interfere with the process or engage in political maneuvering, saying he will even travel out of the country next week to give MPs total freedom to make their choice in his absence.
Meantime, he called on ordinary Papua New Guineans to also prepare for their moment of choice, reminding them that the 2027 National General Election is only 14 months away.
“I encourage every Papua New Guinean who has a political opinion — your right to construct a Government comes at the polls in 2027. Vote purposely. Vote for a Leader of your choice and for a Party that represents your values,” Prime Minister Marape urged.
He reminded the nation that democracy gives equal opportunity to every citizen and political party to seek a mandate through the ballot, not through destabilizing Parliament.
“This Vote of No Confidence Motion is just a distraction. Let us remain focused on the real opportunity ahead — the 2027 Elections.”",Politics,Trust,,,,
Polling Commences: Over 5400 polling teams dispatched,28/10/2025,https://tvwan.com.pg/news/6619,"Polling teams numbering 5494 have been dispatched throughout PNG to conduct polling for the Local Level Government elections in 6916 Wards representing 374 LLGs in 90 districts.
Electoral Commissioner Simon Sinai said all election materials including polling kits and ballot papers have been dispatched to all provinces, adding that election managers and their assistants have been working tirelessly to sort out material distribution according to the number of wards and polling teams in each province.
He said all provinces have conducted their second and third tier trainings for polling and counting officials and are ready to deliver the 2025 LLG Elections.
He said two different methods will be used for voting whereby electors for provinces in the Highlands region and Morobe will have just one day to vote, and voters will be issued a single ballot paper to vote the candidate for the ward only. The LLG President will be elected by the elected ward councilors in the chamber.
Voters in 14 coastal provinces will be issued two ballot papers. One ballot paper is for the candidate contesting the ward and the other, for the candidate contesting the LLG president. Voters will directly vote for the president.
Mr Sinai said provinces can decide on when to commence polling, but it must be done within the specified polling period of October 27 and November 10, 2025.",Politics,Trust,,,,
PM Marape set to sign PNG-Australia Security Treaty today,06/10/2025,https://tvwan.com.pg/news/6324,"Prime Minister James Marape is set to sign the landmark PNG–Australia Security Treaty today in Canberra, following approval by the National Executive Council last week.
This important step marks a deepening of our national security, economic prospects, and regional cooperation.
The Treaty ushers in a new chapter in the longstanding PNG–Australia partnership.
It goes far beyond traditional defence, opening pathways for collaboration in areas essential to Papua New Guinea’s future.
Key Benefits of the Treaty for PNG:
1. Enhanced Security & Law Enforcement
- Formal mutual defence obligations if one party is attacked, the other may act in response subject to parliamentry endorsement as prescribed by the Constitution
- Greater cooperation in border protection, policing, and intelligence coordination for interoperability but under their respective commands without compromising sovereignty.
2. Clean Energy & Infrastructure Development
- Potential investments aligned with PNG’s energy transition goals
- Infrastructure support as part of the wider security-development nexus
3. Education & Employment Pathways
- Expanded training, scholarship, and workforce opportunities for PNG citizens, including pathways to serve in the Australian Defence Force (ADF) under dual arrangements
4. Regional Leadership
- Reinforcing PNG’s role as a reliable security partner in the Pacific
- Strengthening collective regional stability and promoting peace across Oceania
Prime Minister Marape emphasized that the Treaty “reflects the deep friendship and mutual trust that our two nations share.
“It is about growing together in peace, prosperity, and mutual respect as we chart the next 50 years of partnership.”
This Treaty is a strategic victory for Papua New Guinea laying the foundation for a safer, stronger, and more prosperous nation for future generations. It reinforces PNG’s standing in the Pacific as a partner of trust and a nation with influence.
Marape is expected to return to Port Moresby this evening.
Once back, he will brief the public on the full details and significance of the agreement.
Important Next Steps:
1. The signing of the document signifies the agreement of both leaders to the text.
2. The Treaty must then be taken through parliamentary ratification in both PNG and Australia before it becomes legally binding.
The Australian Government is expected to directly recruit its defense personnel from PNG, which is a big win for PNG, where the officers will have the option to become dual citizens.",Politics,Trust,,,,
Global support boosts PNG’s climate advocacy,28/09/2025,https://tvwan.com.pg/news/6207,"Papua New Guinea’s push for climate justice, sustainable forestry, and ocean conservation has received strong support from United Nations Secretary-General António Guterres.
Prime Minister James Marape met with Secretary-General Guterres in New York at the 80th session of the UN General Assembly (UNGA), where the UN chief pledged to stand with PNG and other vulnerable nations in demanding meaningful global climate action.
Prime Minister Marape had the opportunity to present at the UN forum, where multilateral discussions of international issues are held. Present at the gathering were the 193 Member States.
“The Secretary-General has given us his full support in ensuring that Papua New Guinea’s voice is heard,” said Prime Minister Marape. He added that Guterres confirmed that advocacy for forestry and ocean resources will receive top-level backing and insisted that the world’s largest polluters must contribute to preserving these vital natural assets.
Marape emphasized PNG’s unique position as both a forest and ocean nation, noting that although the country’s carbon footprint is small, its forests and oceans serve as crucial carbon sinks benefiting the global environment.
“It is no secret that if we are to stop forest harvesting, then those with the largest carbon emissions must help us save our forests and oceans,” the Prime Minister stated. He announced plans to highlight these issues at COP30 in Brazil.
PNG has also proposed Australia as the host of COP31, symbolically connecting ocean and forest nations as consecutive climate conference hosts.
Highlighting the urgent need for adaptation strategies, Prime Minister Marape stressed the threats of sea-level rise, extreme weather, and changing climate patterns to PNG’s Island communities.
Secretary-General Guterres recognized these challenges and assured his support for PNG’s advocacy. Guterrres urged bigger nations to take responsibility and help those most affected.",Politics,Trust,,,,
PM Marape attends UN General Assembly Week,21/09/2025,https://tvwan.com.pg/news/6128,,,,"Prime Minister James Marape will participate in the 80th Session of the United Nations General Assembly (UNGA80) from 21–27 September 2025, joining global leaders for a historic week of dialogue, diplomacy, and collective action.
The Prime Minister’s programme during UNGA80 underscores Papua New Guinea’s growing role in international affairs.
On Monday, 22 September, he will attend the High-Level Meeting to Commemorate the 80th Anniversary of the United Nations and the High-Level Meeting marking the 30th Anniversary of the Fourth World Conference on Women. He will also participate in the Sustainable Development Goals (SDG) Moment and the High-Level Dialogue on Climate Finance, as well as the High-Level Conference on the Peaceful Settlement of the Question of Palestine.
On Wednesday, 24 September, Prime Minister Marape is expected to contribute to the UN Secretary-General’s Special High-Level Event on Climate Action, co-hosted with the President of Brazil. He will also engage in Pacific-focused discussions through the Pacific Small Island Developing States (PSIDS) Dialogue.
Prime Minister Marape will also deliver Papua New Guinea’s national statement to the UN General Assembly on Friday, 26 September 2025, highlighting the country’s commitment to global peace, sustainable development, climate action, and the defence of multilateralism.
He is further expected to participate in key bilateral meetings throughout the week, including with senior leaders from the United States, Portugal, and other partner nations.
“This year’s General Assembly carries immense significance as the United Nations marks 80 years of service to humanity,” Prime Minister Marape said.
“Papua New Guinea stands proudly as a member of the UN family since 1975, and we reaffirm our commitment to work with all nations towards peace, prosperity, and a safer planet.”
In addition, Prime Minister Marape will engage with Pacific Island Forum leaders, the Alliance of Small Island States, and PSIDS on shared regional priorities such as climate change, ocean governance, and sustainable development.","Politics, Anticipation",Politics,Anticipation
Australia supports new ministerial wing,18/09/2025,https://tvwan.com.pg/news/6092,,,,"As part of the celebrations of 50 years of Papua New Guinea’s independence, Australia will support the construction of a new ministerial wing for Papua New Guinea’s National Parliament.
This gift recognises the common understanding of the democratic principles that underpin the modern Australia-PNG relationship, and the role of our parliaments in reflecting the voices of our people.
The concept of yumi stap wantaim — side-by-side, step-by-step — will be incorporated into the design and delivery of the new ministerial wing.
Construction will follow a Papua New Guinea-led design and consultation process, and draw on local craftsmanship and expertise.
In January 2023, Prime Minister Anthony Albanese became the first foreign leader to address the National Parliament of Papua New Guinea.
Just over a year later, in February 2024, Prime Minister Marape was the first Pacific leader to address both Members and Senators in the Parliament of Australia.
This mutual recognition reflects the shared democratic values and warm friendship between Australia and Papua New Guinea, which continues to grow.
“Our support for the expansion of Parliament House is an investment in Papua New Guinea’s democracy and sovereignty that will benefit future generations.
“At a ceremony held in Port Moresby on the day of independence in 1975, Australia’s then-Prime Minister Gough Whitlam observed ours is ‘a relationship of equals, based on mutual respect, understanding and trust’.
“As close neighbours and warm friends, the future prosperity of our two nations is bound together,” Albanese said.","Diplomacy, Trust",Diplomacy,Trust
