Title,URL,Date,Content,Category,Sentiment,People,Source
O’Neill claims government took another K1 billion loan,https://www.thenational.com.pg/oneill-claims-government-took-another-k1-billion-loan/,17/11/2025,"IALIBU-Pangia MP Peter O’Neill claims that the Government has taken on another K1 billion in new loans, only weeks after withdrawing more than K1 billion in dividends from Kumul Minerals Holdings Limited. O’Neill, in a statement yesterday, said the latest borrowings include K600 million for the “politically convenient” Connect PNG programme from local banks and K400 million from the Asian Development Bank for general budget support. “That’s K2 billion raised in just a couple of weeks – but still no medicines,” O’Neill said. “The prime minister insensitively told medical workers last Friday to ‘do more with less’, admitting that there is a serious cash shortage and that he cannot release funds to buy essential medicines.” A comment was sought from Prime Minister James Marape yesterday but no response was received when this edition went to press. O’Neill claimed that Marape told doctors and nurses to stop complaining about the lack of funding and to focus on patient outcomes. “Real patriotism is shown when professionals work for the good of the country, not just for pay checks. Health workers must be efficient and resourceful in how they use what is available,” O’Neill said. “Marape’s comments contradict what he said only three weeks earlier when he criticised the 22 governors and provincial health authorities (PHA), claiming that the medicine budget had been spent and that PHAs were at fault for the shortages. “Fast-forward three weeks, and now he is blaming doctors and nurses, while admitting there is no money left to buy medicines. “The public is frustrated by chronic shortages affecting hospitals nationwide and blames Marape and his Pangu Government for the pain, suffering and unnecessary deaths due to the medicine drought. “People want answers on why billions of Kina continue to be committed elsewhere while essential drugs remain out of stock. “It is simply not acceptable for Papua New Guineans to be left without medicines while another K2 billion flows into what many see as a Waigani slush fund.”",Politics,Anger,James Marape,The National
Treasurer: Country needs better return from resources,https://www.thenational.com.pg/treasurer-country-needs-better-return-from-resources/,17/11/2025,"TREASURER Ian Ling- Stuckey says the country needs a better return from its resources. “International studies clearly indicate that Papua New Guinea is benefiting less from its resource wealth than most other developing countries,” he said in a statement. “The Government’s work to get a fairer share is being attacked again by the Opposition. “In a recent statement, he (former prime minister Peter O’Neill) attacked the Government’s work to get payments from the Kumul resource companies.” O’Neill said recently that he had credible information that the Kumul Mineral Holdings had been instructed to pay K1 billion in advanced dividend before the end of the financial year. He said: “Kumul Minerals earns most of its revenues from the Ok Tedi mine. The mine is 100 per cent owned by the people of PNG since 2013 when it was nationalised under my government. We never interfered and the mine ran independently. Now it is being pushed around as the cash-cow. Kumul Petroleum Holdings Limited (KPHL) has been instructed to pay K900 million in dividends in 2025.” Ling-Stuckey said that as required by responsible financial management, “the Government is expecting the Kumul Holding companies to pay dividends in line with Government policies”. “The Government, and our international partners, have become more and more concerned about the lack of payments from our Kumuls,” he said. “When the PNGLNG project was being designed, the expectation was that 100 per cent of all the dividends would come to the budget, either directly, or through a Sovereign Wealth Fund.” Ling-Stuckey claimed that O’Neill changed the original approach, and “gave the Kumuls the flexibility to decide how much of the people’s dividends should be paid to the people”. “He was so confused he actually set up a private company but owned by the people of PNG. Worse, it was the only company in the world, where workers decided how much of profits are given back to owners. The people’s budget share was reduced to less than half,” he said. “But even then, the Kumuls have not met this much lower share.  Estimates are that Kumul Petroleum Holdings has K3,299 million in outstanding dividends. “Why then is O’Neill trying to protect Kumul Petroleum from paying their fair share of dividends to help pay for teachers and nurses and police? “The 2025 Budget set out that Kumul Mineral Holdings (KMH) was expected to pay K921 million. Mid-year, only K121 million has been paid. This is unsatisfactory. Any responsible government would go to the Kumuls and instruct them to pay according to the Government’s NEC endorsed dividend policy. “Treasury has not issued demands to Ok Tedi to buy government bills. KMH made an offer to buy extra government bills instead of paying dividends, but this was rejected by Treasury. “Treasury Bills have already been very well supported by investors this year. If KMH has the cash to invest in Treasury Bills, they have the cash to make dividend payments to the Government. We want tax revenues from the resource sector, not just more debt.” Parliament will reconvene tomorrow (Nov 18) for a two-week session dedicated to passing the 2026 National Budget.",Politics,Anger,Nill,The National
Budget to be tabled on Thursday,https://www.thenational.com.pg/budget-to-be-tabled-on-thursday/,17/11/2025,"THE 2026 national budget is expected to be tabled in Parliament on Thursday. Secretary for Treasury Andrew Oaeke, in a paid advertisement on Friday, said the budget lock-up would be at the Parliament state function room on Thursday starting at 9am. This will be followed by the tabling of the budget in parliament by Treasurer Ian-Ling Stuckey. Prime Minister James Marape last month said that the budget would continue to focus on growth, maintaining the debt level and primary service delivery. The discussions may include anticipated revenue sources, allocations for public service and potential economic initiatives. Marape on returning from the Brazil Cop30 last Tuesday, emphasised the importance of a fiscal restraint on the belief that funding was adequate to accommodate the 2027 General Elections. He said this would include an oversight by both Government and Opposition MPs for transparency.",Business,Anticipation,James Marape,The National
Sir Tiong’s passing a great loss: Duma,https://www.thenational.com.pg/sir-tiongs-passing-a-great-loss-duma/,17/11/2025,"STATE Enterprises Minister William Duma has described the passing of the late Tan Sri Sir Tiong Hiew King, the founder of the Rimbunan Hijau (RH) Group of Companies, as a “big loss to PNG”. Duma in a statement said Tiong had started small and became very successful in everything he did. “He contributed heavily in the development of the PNG logging industry to what it is today, as well as in ensuring that the skyline of Port Moresby was improved by both the ground-breaking Vision City Mega Mall and the Stanley Hotel and Suites projects,” Duma said. “These are billion kina projects which he pushed for when not many foreign investors were prepared to invest in PNG,” he said. “In the media and communications industry, he provided competition by establishingThe Nationalnewspaper, and that has contributed immensely to communication in PNG.” Tiong passed away last Tuesday in Malaysia.",Business,Sadness,William Duma,The National
30 female students evacuated from Rabaul,https://www.thenational.com.pg/30-female-students-evacuated-from-rabaul/,17/11/2025,"A ROYAL Australian Air Force evacuated 30 female students of the Sonoma Adventist College in East New Britain to Lae because of on-going fights between students and locals. Deputy Prime Minister John Rosso confirmed that the 30 female students were evacuated because of the violence. He said that of the 30, 11 would travel to Goroka, two students to Madang and the rest were from Morobe. They landed at Nadzab Tomodachi International Airport yesterday. Rosso, the Lae MP who was behind the evacuation exercise, thanked the Australia Defence Force and Canberra for their assistance to airlift the students to Lae. Similar arrangements were organized by Rosso for University of Goroka students from East Sepik and West New Britain currently in Lae.",Politics,Fear,John Rosso,The National
Jokema wins award for business,https://www.thenational.com.pg/jokema-wins-award-for-business/,17/11/2025,"MUSICIAN Honlly Isaac, known across Papua New Guinea as Jokema, has been honoured with the 2025 MoniPlus Sir Bernard Chan Entrepreneur with a Disability Award. Isaac received the award during the Ela Motors SME Awards in Port Moresby last week. The surprise announcement was made after Isaac just finished his performance and had spoken candidly about the importance of building additional pathways for sustainability. “This award is not about me but for all people living with disabilities and doing their hardest to live normal lives to work, to be with our families and make a contribution to our communities,” Isaac said after receiving the award. “Just because someone cannot walk or see or hear does not mean they have nothing to offer society. “My disability does not hold me back as I continue to make music, to appear on stage, run business operations and make my contribution to community development.” Isaac became a paraplegic after a car accident in 2018, and has since transformed adversity into a platform for leadership, inspiration and nation-building. He runs multiple businesses, including the Jokema Inn, Jump Enterprises, Oil Palm Trucking, The Fixers, ZenX Security and the newly-established Spinal Cord Injury Foundation. “God has a path for everyone and I believe that He put me in this wheelchair for a reason. “I went from the highest point in my musical career to the lowest moment of my life when I lost the use of my legs. “But I realised that with focus, discipline and positivity I could rebuild my life. “My purpose now is to look after my people in Morobe, empower young musicians, farmers, SMEs and be an advocate for those living like me.” The award was presented to Jokema after he had taken part in a question and answer session where he discussed how musicians and entrepreneurs should diversify, create and build long term livelihoods. Moments later, Sir Bernard Chan took the stage and presented him with the award, praising his exceptional courage, innovation and unwavering commitment to the community. “To be honoured with this award by such a great and outstanding man of the stature of Sir Bernard Chan is a great honour,” Jokema said. The Ela Motors SME Awards once again recognised excellence, resilience and the spirit of innovation – values Honlly Isaac embodies daily.",Business,Joy,Nill,The National
Yafai appeals conviction,https://www.thenational.com.pg/yafai-appeals-conviction/,17/11/2025,"THE Supreme Court heard an appeal against conviction by former deputy Finance secretary Jacob Yafai and adjourned the case to next month for directions hearing. Yafai, from Yangoru’s Karapia village in East Sepik, was jailed 22 years last month by Chief Justice Sir Gibbs Salika for misappropriating K41.8 million of State money. He filed this appeal against conviction through his lawyer Edward Sasingian of Sasingian Lawyers. Justice David Cannings, who presided in the matter in a one-man bench in Waigani on Friday, heard the appeal and adjourned it to Dec 11 for further directions. Sasingian informed the court that Yafai’s appeal book was ready but asked the court to give a date in February for the appeal to be heard properly. The court heard that Yafai filed the Supreme Court application without leave to review the decision of Chief Justice Sir Gibbs made on Aug 19, which convicted him on four counts of misappropriation and one count of abuse of office. Yafai argued among other grounds that Sir Gibbs had erred in law and fact when he had him convicted and has sought orders to uphold the appeal, and have the whole of the judgement of Aug 19 quashed. He is also arguing in the appeal that Sir Gibbs had made an error of convicting him on the finding that he was directed by the former Finance secretary the late Steven Gibson to verify the claim by Paul Paraka and that when he had failed to do so, he was acting dishonestly when the evidence before the court said otherwise. On another ground of appeal, Yafai argued that Sir Gibbs erred in mixed facts and law, when he accepted the evidence of the former Finance Minister James Marape that was given against him in court, when it was unreliable and contradicted State exhibit, indicating bias. Yafai further claims that the trial judge erred in law in convicting him on abuse of office, for directing the payment of K41.8 million to Paraka Lawyers when the evidence before the court did not support the element of the charge. He also sought an order to alternatively have the matter remitted back to the National Court for a retrial before another judge.",Business,Anticipation,James Marape,The National
"UN, Australian Border Force help PNG Customs",https://www.thenational.com.pg/un-australian-border-force-help-png-customs/,17/11/2025,"THE United Nations Office on Drugs and Crime (UNODC), with funding support from the Australian Border Force, has donated six sets of IT equipment and 15 sets of drug and precursor test kits to the Papua New Guinea Customs Service (PNGCS). Chief Commissioner of Customs David Towe said these resources were designated for the Passenger and Cargo Control Programme (PCCP) at Port Control Units in PNG. “We appreciate UNODC’s unwavering support through ongoing capacity building training initiatives and now through the donation of the IT equipment and drug test kits,” he said. The handover took place during the closing ceremony of the UNODC-WCO-INTERPOL PCCP Law Enforcement Assistance Programme (LEAP) training on combating deforestation and illicit timber trafficking last month. Towe expressed gratitude for the continued partnership with UNODC. “We appreciate UNODC’s unwavering support through ongoing capacity building training initiatives and now through the donation of the IT equipment and drug test kits,” he said. “These tools will significantly leverage our ability to secure our borders, combat drug trafficking and other illicit activities, and safeguard our communities and the economy.” The week-long training provided theoretical and practical knowledge of forest crime prevention and timber trafficking, including topics such as impacts of deforestation, timber supply chain analysis, risk profiling and indicators, international trade documentation, physical inspection procedures, crime scene management, evidence collection, global forestry crime trends and concealment methods. Commissioner Border Security and Regional Operations Benjamin Sine acknowledged UNODC’s ongoing support in strengthening PNGCS border security. “These trainings strengthen our enforcement capabilities and collaboration between PNGCS and UNODC in advancing border security efforts. Our focus remains on building internal capacity to ensure sustainable capacity development in future,” he said. The training was facilitated by PNG Customs officers Leslie Malo and Jerry Abraham, alongside PCCP deputy regional coordinator Topan Caesar Renyaan and programme assistant Jadetayakom Luythong. Sine said there were 16 Customs officers from respective divisions including, regional operations, enforcement, post clearance audit (PCA), intelligence and targeting, and Trade Excise and Valuation participated in the training. “It is encouraging to see our own trainers leading these sessions and I urge all participants to make full use of the knowledge gained,” Sine said.",Business,Trust,Nill,The National
PM commends peaceful elections,https://www.thenational.com.pg/pm-commends-peaceful-elections/,17/11/2025,"PRIME Minister James Marape has commended the people of Hela, including those in his own district of Tari-Pori, for a peaceful completion of the 2025 Local Level Government (LLG) elections. Marape said the peaceful conclusion across the province was an achievement for Hela, marking a clear shift from past challenges and instability that often disrupted the election process. “Today, I am proud to say that 99 per cent of the council elections in Tari-Pori have been completed, with people voting freely and peacefully, free of intimidation or violence,” he said. “There were no law and order issues reported. From where we have come from to where we are today, in just 13 years since we became a province, this is an extraordinary transformation.” He thanked the people of Hela, including candidates, community leaders and supporters, for respecting the democratic process and working together to ensure a peaceful outcome. “I commend all the candidates who contested these elections. Even for those who did not make it through, you remain an important part of your communities,” Marape said. “Our district, in partnership with the Hela government, will ensure that everyone continues to play a part in local leadership – through ward committees and community-based teams – to maintain peace, stability and progress across our province. “I want to commend the provincial election manager for once again delivering a credible and orderly election outcome when many thought it would not be possible. “Despite limited police and defence personnel due to manpower shortages, our communities rallied together to uphold peace and order. This shows that when people take responsibility and work together, things can be settled much better.” Marape also thanked Hela Governor Philip Undialu for his leadership and commitment in conducting the elections.",Politics,Trust,James Marape,The National
Jail project needs urgent funding,https://www.thenational.com.pg/jail-project-needs-urgent-funding/,17/11/2025,"A CRITICAL restoration of the Mukrumanda jail project in Enga has not started despite a K8 million allocation from the National Government, says an official. Correctional Services Minister Joe Kuli said this funding was to ensure prisons were built to accommodate law offenders from the escalating law and order problems in Enga. “The Correctional Services facilitates the prison areas and allocations for prisons rest with the provincial government. “For a complete rehabilitation of all 21 prisons around the country, it would take K32 million in total, but so far, the allocation to CS has only been at K2 million for prison rehabilitations and other works. “This is insufficient given there are 21 prisons and the functions of each prisons defer,” he said. He said law offenders were being diverted to Baisu Prison in the Western Highlands which had far exceeded its capacity of more than 1,000 persons. In September, Prime Minister James Marape when visiting Wabag said a K8 million was allocated and this was to ensure some effort was made to curb the escalating law and order problems in the province. Marape had stressed that Mukrumanda was a critical project and encouraged the provincial government to get the project off the ground as soon as possible. CS acting Commissioner Bernard Nepo said Mukrumanda was a project that had legacy issues. “With the support from Finance and EPG, we are trying to sort this out so that law and order issues can be resolved not in a big way but at least to contain those that are brought to our custody. “At this stage, the project is yet to be completed. A few weeks back the prime minister made an undertaking that K8 million should be injected to the project and so we are in the process of finding that money from Finance.",Politics,Anger,"James Marape, Joe Kuli",The National
